hour,production,consumption
2023-06-01 00:00,0.0,0.42
2023-06-01 01:00,0.0,0.66
2023-06-01 02:00,0.0,1.24
2023-06-01 03:00,0.01,0.9
2023-06-01 04:00,0.05,1.09
2023-06-01 05:00,0.12,1.19
2023-06-01 06:00,0.21,0.74
2023-06-01 07:00,0.26,0.71
2023-06-01 08:00,0.38,1.04
2023-06-01 09:00,0.39,1.14
2023-06-01 10:00,0.41,0.54
2023-06-01 11:00,0.52,0.44
2023-06-01 12:00,0.48,0.46
2023-06-01 13:00,0.46,1.43
2023-06-01 14:00,0.47,1.19
2023-06-01 15:00,0.46,0.96
2023-06-01 16:00,0.43,0.66
2023-06-01 17:00,0.35,0.69
2023-06-01 18:00,0.25,1.38
2023-06-01 19:00,0.17,1.4
2023-06-01 20:00,0.1,1.38
2023-06-01 21:00,0.05,1.3
2023-06-01 22:00,0.01,0.79
2023-06-01 23:00,0.0,0.71
