hour,production,consumption
2023-06-01 00:00,0,0.74
2023-06-01 01:00,0,0.85
2023-06-01 02:00,0,0.98
2023-06-01 03:00,0,1.37
2023-06-01 04:00,0,1.34
2023-06-01 05:00,0,0.84
2023-06-01 06:00,0,1.45
2023-06-01 07:00,0,1.3
2023-06-01 08:00,0,0.94
2023-06-01 09:00,0,0.5
2023-06-01 10:00,0,0.91
2023-06-01 11:00,0,1.03
2023-06-01 12:00,0,1.36
2023-06-01 13:00,0,1.28
2023-06-01 14:00,0,1.32
2023-06-01 15:00,0,0.58
2023-06-01 16:00,0,0.6
2023-06-01 17:00,0,0.57
2023-06-01 18:00,0,0.88
2023-06-01 19:00,0,0.74
2023-06-01 20:00,0,0.64
2023-06-01 21:00,0,0.62
2023-06-01 22:00,0,0.94
2023-06-01 23:00,0,1.01
