hour,production,consumption
2023-06-01 00:00,0.0,0.87
2023-06-01 01:00,0.0,0.95
2023-06-01 02:00,0.0,1.47
2023-06-01 03:00,0.19,0.75
2023-06-01 04:00,1.02,1.43
2023-06-01 05:00,2.52,0.48
2023-06-01 06:00,4.04,0.53
2023-06-01 07:00,5.05,1.21
2023-06-01 08:00,7.41,1.2
2023-06-01 09:00,7.46,1.25
2023-06-01 10:00,8.7,0.44
2023-06-01 11:00,9.28,1.36
2023-06-01 12:00,10.85,1.04
2023-06-01 13:00,10.35,1.48
2023-06-01 14:00,8.72,0.62
2023-06-01 15:00,8.2,1.41
2023-06-01 16:00,7.83,0.81
2023-06-01 17:00,6.69,1.26
2023-06-01 18:00,5.07,0.6
2023-06-01 19:00,3.62,1.44
2023-06-01 20:00,1.98,0.9
2023-06-01 21:00,1.08,0.67
2023-06-01 22:00,0.21,1.14
2023-06-01 23:00,0.0,0.46
2023-06-02 00:00,0.0,0.41
2023-06-02 01:00,0.0,1.32
2023-06-02 02:00,0.0,0.88
2023-06-02 03:00,0.18,0.93
2023-06-02 04:00,1.06,0.94
2023-06-02 05:00,2.48,0.41
2023-06-02 06:00,3.79,0.8
2023-06-02 07:00,5.22,0.95
2023-06-02 08:00,7.48,0.73
2023-06-02 09:00,7.38,0.68
2023-06-02 10:00,9.25,1.01
2023-06-02 11:00,10.7,1.16
2023-06-02 12:00,11.17,1.29
2023-06-02 13:00,10.26,0.62
2023-06-02 14:00,9.13,0.84
2023-06-02 15:00,9.5,1.14
2023-06-02 16:00,8.31,0.61
2023-06-02 17:00,5.77,1.19
2023-06-02 18:00,5.34,1.19
2023-06-02 19:00,3.4,0.74
2023-06-02 20:00,1.88,0.71
2023-06-02 21:00,1.0,0.61
2023-06-02 22:00,0.22,0.54
2023-06-02 23:00,0.0,1.04
2023-06-03 00:00,0.0,1.45
2023-06-03 01:00,0.0,0.66
2023-06-03 02:00,0.0,1.4
2023-06-03 03:00,0.2,0.88
2023-06-03 04:00,0.93,0.47
2023-06-03 05:00,2.51,1.09
2023-06-03 06:00,4.0,0.6
2023-06-03 07:00,5.93,0.98
2023-06-03 08:00,6.79,1.06
2023-06-03 09:00,8.25,0.7
2023-06-03 10:00,8.87,0.94
2023-06-03 11:00,10.69,0.63
2023-06-03 12:00,11.12,0.48
2023-06-03 13:00,10.45,0.49
2023-06-03 14:00,8.74,0.83
2023-06-03 15:00,8.23,0.71
2023-06-03 16:00,8.27,0.66
2023-06-03 17:00,6.45,1.02
2023-06-03 18:00,5.37,0.41
2023-06-03 19:00,3.3,1.3
2023-06-03 20:00,2.08,1.25
2023-06-03 21:00,0.94,1.45
2023-06-03 22:00,0.18,0.6
2023-06-03 23:00,0.0,0.82
2023-06-04 00:00,0.0,1.13
2023-06-04 01:00,0.0,0.81
2023-06-04 02:00,0.0,1.49
2023-06-04 03:00,0.18,1.42
2023-06-04 04:00,1.01,0.47
2023-06-04 05:00,2.36,0.96
2023-06-04 06:00,4.31,0.61
2023-06-04 07:00,5.98,0.58
2023-06-04 08:00,7.43,1.34
2023-06-04 09:00,7.96,1.22
2023-06-04 10:00,8.55,0.49
2023-06-04 11:00,9.98,0.4
2023-06-04 12:00,9.92,1.42
2023-06-04 13:00,9.57,0.61
2023-06-04 14:00,9.49,1.5
2023-06-04 15:00,8.96,1.3
2023-06-04 16:00,7.53,1.28
2023-06-04 17:00,6.71,0.53
2023-06-04 18:00,5.46,0.96
2023-06-04 19:00,3.37,1.48
2023-06-04 20:00,1.83,1.26
2023-06-04 21:00,1.03,0.43
2023-06-04 22:00,0.21,1.46
2023-06-04 23:00,0.0,0.43
2023-06-05 00:00,0.0,0.66
2023-06-05 01:00,0.0,1.36
2023-06-05 02:00,0.0,0.75
2023-06-05 03:00,0.21,1.16
2023-06-05 04:00,1.03,0.97
2023-06-05 05:00,2.47,1.02
2023-06-05 06:00,3.65,1.35
2023-06-05 07:00,5.81,0.67
2023-06-05 08:00,7.29,0.58
2023-06-05 09:00,8.79,0.67
2023-06-05 10:00,8.76,0.51
2023-06-05 11:00,9.7,0.51
2023-06-05 12:00,10.93,1.3
2023-06-05 13:00,10.96,1.14
2023-06-05 14:00,9.5,1.44
2023-06-05 15:00,9.28,0.67
2023-06-05 16:00,8.69,0.95
2023-06-05 17:00,6.11,1.07
2023-06-05 18:00,4.55,1.42
2023-06-05 19:00,3.33,0.84
2023-06-05 20:00,2.12,0.86
2023-06-05 21:00,1.07,0.51
2023-06-05 22:00,0.18,1.1
2023-06-05 23:00,0.0,0.78
2023-06-06 00:00,0.0,0.81
2023-06-06 01:00,0.0,1.11
2023-06-06 02:00,0.0,0.9
2023-06-06 03:00,0.18,1.39
2023-06-06 04:00,0.91,0.8
2023-06-06 05:00,2.48,0.87
2023-06-06 06:00,3.97,0.48
2023-06-06 07:00,5.26,0.53
2023-06-06 08:00,6.76,0.56
2023-06-06 09:00,7.82,0.4
2023-06-06 10:00,9.79,1.2
2023-06-06 11:00,9.83,0.64
2023-06-06 12:00,10.87,1.24
2023-06-06 13:00,9.15,1.09
2023-06-06 14:00,9.65,0.5
2023-06-06 15:00,8.19,1.0
2023-06-06 16:00,7.42,0.56
2023-06-06 17:00,6.8,0.62
2023-06-06 18:00,5.32,0.81
2023-06-06 19:00,3.27,1.24
2023-06-06 20:00,2.09,1.31
2023-06-06 21:00,1.01,0.86
2023-06-06 22:00,0.21,0.74
2023-06-06 23:00,0.0,1.2
2023-06-07 00:00,0.0,1.1
2023-06-07 01:00,0.0,1.31
2023-06-07 02:00,0.0,1.02
2023-06-07 03:00,0.21,0.56
2023-06-07 04:00,0.98,0.56
2023-06-07 05:00,2.39,1.38
2023-06-07 06:00,3.98,1.2
2023-06-07 07:00,5.42,1.42
2023-06-07 08:00,6.67,1.27
2023-06-07 09:00,8.73,0.9
2023-06-07 10:00,9.11,1.28
2023-06-07 11:00,9.53,0.62
2023-06-07 12:00,10.87,1.45
2023-06-07 13:00,9.76,1.44
2023-06-07 14:00,9.27,0.53
2023-06-07 15:00,9.4,1.21
2023-06-07 16:00,7.73,0.9
2023-06-07 17:00,6.51,1.13
2023-06-07 18:00,5.02,1.5
2023-06-07 19:00,3.52,0.57
2023-06-07 20:00,1.93,1.18
2023-06-07 21:00,1.01,0.52
2023-06-07 22:00,0.2,0.79
2023-06-07 23:00,0.0,0.84
2023-06-08 00:00,0.0,1.04
2023-06-08 01:00,0.0,0.77
2023-06-08 02:00,0.0,0.44
2023-06-08 03:00,0.21,0.62
2023-06-08 04:00,0.96,1.36
2023-06-08 05:00,2.35,0.76
2023-06-08 06:00,3.63,0.47
2023-06-08 07:00,5.54,0.59
2023-06-08 08:00,6.66,0.6
2023-06-08 09:00,7.39,1.43
2023-06-08 10:00,9.02,1.4
2023-06-08 11:00,9.59,1.4
2023-06-08 12:00,10.19,0.81
2023-06-08 13:00,9.73,1.13
2023-06-08 14:00,10.05,0.53
2023-06-08 15:00,8.64,1.1
2023-06-08 16:00,8.76,0.96
2023-06-08 17:00,6.27,0.63
2023-06-08 18:00,4.6,0.68
2023-06-08 19:00,3.76,0.83
2023-06-08 20:00,2.12,1.22
2023-06-08 21:00,0.98,1.49
2023-06-08 22:00,0.22,0.5
2023-06-08 23:00,0.0,0.77
2023-06-09 00:00,0.0,1.24
2023-06-09 01:00,0.0,0.83
2023-06-09 02:00,0.0,1.21
2023-06-09 03:00,0.21,0.51
2023-06-09 04:00,1.08,0.81
2023-06-09 05:00,2.17,0.64
2023-06-09 06:00,3.83,0.47
2023-06-09 07:00,6.1,0.48
2023-06-09 08:00,7.06,1.4
2023-06-09 09:00,8.46,1.11
2023-06-09 10:00,9.73,1.37
2023-06-09 11:00,10.35,1.12
2023-06-09 12:00,11.34,0.93
2023-06-09 13:00,10.01,0.84
2023-06-09 14:00,10.42,0.55
2023-06-09 15:00,9.26,1.21
2023-06-09 16:00,7.62,1.48
2023-06-09 17:00,5.82,0.58
2023-06-09 18:00,5.06,1.43
2023-06-09 19:00,3.85,1.45
2023-06-09 20:00,1.81,0.6
2023-06-09 21:00,1.08,0.4
2023-06-09 22:00,0.18,1.45
2023-06-09 23:00,0.0,0.5
2023-06-10 00:00,0.0,1.33
2023-06-10 01:00,0.0,0.96
2023-06-10 02:00,0.0,1.23
2023-06-10 03:00,0.21,0.78
2023-06-10 04:00,1.06,0.48
2023-06-10 05:00,2.54,1.37
2023-06-10 06:00,4.29,0.81
2023-06-10 07:00,5.55,1.23
2023-06-10 08:00,6.87,1.17
2023-06-10 09:00,8.79,0.81
2023-06-10 10:00,9.6,1.15
2023-06-10 11:00,9.97,1.28
2023-06-10 12:00,10.38,1.19
2023-06-10 13:00,9.57,1.5
2023-06-10 14:00,10.38,1.46
2023-06-10 15:00,8.37,0.94
2023-06-10 16:00,8.04,1.03
2023-06-10 17:00,6.42,1.36
2023-06-10 18:00,5.42,0.79
2023-06-10 19:00,3.77,1.11
2023-06-10 20:00,1.83,0.62
2023-06-10 21:00,1.0,0.94
2023-06-10 22:00,0.18,1.1
2023-06-10 23:00,0.0,0.69
2023-06-11 00:00,0.0,0.6
2023-06-11 01:00,0.0,1.14
2023-06-11 02:00,0.0,0.56
2023-06-11 03:00,0.21,0.52
2023-06-11 04:00,1.05,0.84
2023-06-11 05:00,2.24,0.41
2023-06-11 06:00,4.28,1.39
2023-06-11 07:00,5.63,1.45
2023-06-11 08:00,7.1,1.43
2023-06-11 09:00,8.38,1.45
2023-06-11 10:00,9.32,1.23
2023-06-11 11:00,10.94,1.36
2023-06-11 12:00,10.28,1.45
2023-06-11 13:00,9.68,1.38
2023-06-11 14:00,9.1,1.45
2023-06-11 15:00,8.86,0.65
2023-06-11 16:00,7.37,1.45
2023-06-11 17:00,6.68,0.81
2023-06-11 18:00,5.39,0.71
2023-06-11 19:00,3.56,1.15
2023-06-11 20:00,2.1,1.14
2023-06-11 21:00,0.91,0.74
2023-06-11 22:00,0.19,0.95
2023-06-11 23:00,0.0,0.57
2023-06-12 00:00,0.0,0.76
2023-06-12 01:00,0.0,0.47
2023-06-12 02:00,0.0,0.78
2023-06-12 03:00,0.19,0.63
2023-06-12 04:00,1.03,1.08
2023-06-12 05:00,2.17,1.38
2023-06-12 06:00,3.8,1.19
2023-06-12 07:00,5.32,1.39
2023-06-12 08:00,7.44,0.68
2023-06-12 09:00,7.33,0.8
2023-06-12 10:00,9.39,1.1
2023-06-12 11:00,9.41,0.47
2023-06-12 12:00,10.49,0.68
2023-06-12 13:00,9.44,0.68
2023-06-12 14:00,9.82,1.2
2023-06-12 15:00,9.03,0.91
2023-06-12 16:00,7.92,0.99
2023-06-12 17:00,6.71,1.03
2023-06-12 18:00,5.49,0.78
2023-06-12 19:00,3.37,0.98
2023-06-12 20:00,1.95,0.83
2023-06-12 21:00,1.0,0.66
2023-06-12 22:00,0.19,0.69
2023-06-12 23:00,0.0,1.19
2023-06-13 00:00,0.0,0.79
2023-06-13 01:00,0.0,0.82
2023-06-13 02:00,0.0,1.22
2023-06-13 03:00,0.22,1.22
2023-06-13 04:00,1.09,0.8
2023-06-13 05:00,2.25,0.73
2023-06-13 06:00,4.06,1.02
2023-06-13 07:00,5.85,0.96
2023-06-13 08:00,6.42,0.98
2023-06-13 09:00,7.65,0.94
2023-06-13 10:00,8.52,0.83
2023-06-13 11:00,10.6,0.48
2023-06-13 12:00,10.79,0.71
2023-06-13 13:00,10.04,1.02
2023-06-13 14:00,10.32,0.67
2023-06-13 15:00,8.4,0.61
2023-06-13 16:00,8.8,0.75
2023-06-13 17:00,6.0,0.44
2023-06-13 18:00,4.56,0.6
2023-06-13 19:00,3.27,1.19
2023-06-13 20:00,2.19,1.39
2023-06-13 21:00,1.01,0.93
2023-06-13 22:00,0.18,0.46
2023-06-13 23:00,0.0,1.47
2023-06-14 00:00,0.0,1.48
2023-06-14 01:00,0.0,1.47
2023-06-14 02:00,0.0,0.7
2023-06-14 03:00,0.19,0.71
2023-06-14 04:00,1.04,0.57
2023-06-14 05:00,2.19,0.49
2023-06-14 06:00,3.67,0.89
2023-06-14 07:00,5.82,1.47
2023-06-14 08:00,6.95,1.25
2023-06-14 09:00,7.48,0.65
2023-06-14 10:00,8.64,1.04
2023-06-14 11:00,9.55,0.53
2023-06-14 12:00,9.68,0.58
2023-06-14 13:00,9.05,0.78
2023-06-14 14:00,9.77,1.1
2023-06-14 15:00,8.93,0.44
2023-06-14 16:00,7.49,1.22
2023-06-14 17:00,6.52,1.05
2023-06-14 18:00,5.38,0.42
2023-06-14 19:00,3.93,1.09
2023-06-14 20:00,1.83,0.73
2023-06-14 21:00,0.95,1.46
2023-06-14 22:00,0.21,1.14
2023-06-14 23:00,0.0,1.23
2023-06-15 00:00,0.0,0.62
2023-06-15 01:00,0.0,0.64
2023-06-15 02:00,0.0,0.89
2023-06-15 03:00,0.22,0.57
2023-06-15 04:00,1.09,1.19
2023-06-15 05:00,2.46,1.08
2023-06-15 06:00,4.12,0.47
2023-06-15 07:00,5.3,1.48
2023-06-15 08:00,6.55,1.22
2023-06-15 09:00,7.39,1.5
2023-06-15 10:00,9.19,0.76
2023-06-15 11:00,9.68,1.37
2023-06-15 12:00,11.11,0.74
2023-06-15 13:00,10.37,0.76
2023-06-15 14:00,9.3,1.21
2023-06-15 15:00,8.58,0.83
2023-06-15 16:00,8.34,1.43
2023-06-15 17:00,6.02,0.53
2023-06-15 18:00,4.99,1.09
2023-06-15 19:00,3.69,0.68
2023-06-15 20:00,1.92,1.31
2023-06-15 21:00,1.07,1.28
2023-06-15 22:00,0.2,0.51
2023-06-15 23:00,0.0,1.33
2023-06-16 00:00,0.0,1.28
2023-06-16 01:00,0.0,0.69
2023-06-16 02:00,0.0,1.23
2023-06-16 03:00,0.22,0.83
2023-06-16 04:00,1.05,0.91
2023-06-16 05:00,2.54,0.66
2023-06-16 06:00,3.82,1.24
2023-06-16 07:00,5.73,1.19
2023-06-16 08:00,6.38,1.03
2023-06-16 09:00,7.8,0.82
2023-06-16 10:00,8.28,1.43
2023-06-16 11:00,9.79,1.05
2023-06-16 12:00,10.26,0.55
2023-06-16 13:00,9.38,0.9
2023-06-16 14:00,10.23,1.22
2023-06-16 15:00,9.18,1.05
2023-06-16 16:00,7.31,0.45
2023-06-16 17:00,6.43,1.19
2023-06-16 18:00,5.33,1.02
2023-06-16 19:00,3.62,0.43
2023-06-16 20:00,1.93,0.48
2023-06-16 21:00,0.93,0.68
2023-06-16 22:00,0.21,0.7
2023-06-16 23:00,0.0,0.66
2023-06-17 00:00,0.0,1.22
2023-06-17 01:00,0.0,0.83
2023-06-17 02:00,0.0,1.28
2023-06-17 03:00,0.2,0.77
2023-06-17 04:00,1.08,0.58
2023-06-17 05:00,2.37,0.98
2023-06-17 06:00,4.34,1.05
2023-06-17 07:00,6.16,1.17
2023-06-17 08:00,7.03,0.84
2023-06-17 09:00,8.46,0.67
2023-06-17 10:00,9.8,0.85
2023-06-17 11:00,10.37,0.47
2023-06-17 12:00,10.66,0.82
2023-06-17 13:00,9.21,0.72
2023-06-17 14:00,9.59,1.31
2023-06-17 15:00,8.72,1.09
2023-06-17 16:00,7.61,1.06
2023-06-17 17:00,6.71,0.79
2023-06-17 18:00,4.54,1.03
2023-06-17 19:00,3.64,0.95
2023-06-17 20:00,2.11,0.61
2023-06-17 21:00,0.97,0.97
2023-06-17 22:00,0.18,1.44
2023-06-17 23:00,0.0,0.43
2023-06-18 00:00,0.0,0.45
2023-06-18 01:00,0.0,1.33
2023-06-18 02:00,0.0,0.94
2023-06-18 03:00,0.21,1.11
2023-06-18 04:00,1.09,1.33
2023-06-18 05:00,2.49,0.8
2023-06-18 06:00,4.12,1.34
2023-06-18 07:00,5.76,0.67
2023-06-18 08:00,7.26,0.48
2023-06-18 09:00,8.14,0.92
2023-06-18 10:00,9.02,1.29
2023-06-18 11:00,9.22,1.28
2023-06-18 12:00,10.03,0.71
2023-06-18 13:00,10.82,0.49
2023-06-18 14:00,10.32,1.39
2023-06-18 15:00,8.55,0.68
2023-06-18 16:00,8.26,1.2
