hour,production,consumption
2023-06-01 00:00,0.0,1.43
2023-06-01 01:00,0.0,1.34
2023-06-01 02:00,0.0,0.75
2023-06-01 03:00,0.06,1.37
2023-06-01 04:00,0.33,0.77
2023-06-01 05:00,0.88,1.06
2023-06-01 06:00,1.34,1.14
2023-06-01 07:00,1.84,1.43
2023-06-01 08:00,2.65,0.93
2023-06-01 09:00,2.58,1.01
2023-06-01 10:00,3.32,1.44
2023-06-01 11:00,3.28,0.48
2023-06-01 12:00,3.31,1.09
2023-06-01 13:00,3.46,1.08
2023-06-01 14:00,3.46,0.98
2023-06-01 15:00,3.17,1.24
2023-06-01 16:00,2.72,0.53
2023-06-01 17:00,2.03,1.47
2023-06-01 18:00,1.72,1.31
2023-06-01 19:00,1.37,1.13
2023-06-01 20:00,0.64,0.7
2023-06-01 21:00,0.33,1.01
2023-06-01 22:00,0.06,0.56
2023-06-01 23:00,0.0,0.96
2023-06-02 00:00,0.0,1.48
2023-06-02 01:00,0.0,0.46
2023-06-02 02:00,0.0,0.65
2023-06-02 03:00,0.06,0.84
2023-06-02 04:00,0.34,0.7
2023-06-02 05:00,0.89,0.68
2023-06-02 06:00,1.32,0.82
2023-06-02 07:00,2.03,0.4
2023-06-02 08:00,2.42,0.85
2023-06-02 09:00,2.69,0.54
2023-06-02 10:00,3.34,0.68
2023-06-02 11:00,3.6,0.98
2023-06-02 12:00,3.52,1.2
2023-06-02 13:00,3.76,1.29
2023-06-02 14:00,3.05,1.16
2023-06-02 15:00,2.97,0.76
2023-06-02 16:00,2.8,1.2
2023-06-02 17:00,2.23,0.76
2023-06-02 18:00,1.69,0.74
2023-06-02 19:00,1.37,1.11
2023-06-02 20:00,0.64,0.78
2023-06-02 21:00,0.38,0.47
2023-06-02 22:00,0.07,1.48
2023-06-02 23:00,0.0,0.7
